Loại cây trồng,Nhiệt độ (°C),Lượng mưa (mm),Độ ẩm (%),Loại đất,Lượng phân bón (kg/ha),Kỹ thuật canh tác,Năng suất dự báo (tấn/ha)
Hồ tiêu,19.89,265.45,48.98,Cát,62.52,Truyền thống,16.62
Đậu tương,16.73,286.53,51.88,Cát,182.36,Công nghệ cao,27.87
Hồ tiêu,17.52,143.33,88.57,Sét,170.54,Công nghệ cao,25.22
Đậu tương,15.46,117.69,49.05,Sét,125.78,Công nghệ cao,19.41
Ngô,17.36,211,82.72,Phù sa,195.07,Công nghệ cao,29.47
Cà phê,32.08,152.18,64.61,Phù sa,112.66,Công nghệ cao,19.73
Đậu tương,16.78,56.35,52.36,Phù sa,197.62,Công nghệ cao,25
Hồ tiêu,22.97,89.04,83.54,Sét,150.19,Công nghệ cao,23.17
Ngô,36.12,228.99,62.27,Sét,145.2,Công nghệ cao,25.64
Lúa,15.58,214.73,65.74,Thịt,74.89,Công nghệ cao,17.02
Sắn,35.36,56.77,57.96,Phù sa,182.29,Truyền thống,24.91
Sắn,22.05,105.49,69.65,Phù sa,114.12,Công nghệ cao,18.31
Sắn,17.95,107.77,48.18,Phù sa,74.34,Truyền thống,13.52
Đậu tương,32.42,217.97,59.55,Cát,51.89,Truyền thống,15.22
Lúa,30.72,54.93,88.47,Thịt,133.96,Công nghệ cao,20.89
Đậu tương,36.94,76.03,52.91,Phù sa,129.11,Công nghệ cao,20.57
Cà phê,33.38,249.98,72.84,Phù sa,157.9,Truyền thống,26.97
Đậu tương,35.09,94.64,56.26,Phù sa,183.54,Truyền thống,24.94
Lúa,22.05,213.19,78.67,Cát,61.91,Công nghệ cao,16.44
Lúa,19.44,109.55,46.54,Cát,159.72,Truyền thống,22.03
Cà phê,33.77,74.86,88.49,Sét,78.11,Công nghệ cao,15.46
Lúa,35.17,110.79,62.69,Thịt,178.73,Công nghệ cao,25.85
Hồ tiêu,39.76,230.57,51.8,Sét,172.86,Công nghệ cao,28.44
Lúa,25.32,263.92,43.67,Thịt,131.12,Truyền thống,24.52
Sắn,24.3,257.55,48.49,Cát,156.54,Truyền thống,25.78
Hồ tiêu,34.41,149.3,65.99,Phù sa,97.15,Công nghệ cao,18.31
Hồ tiêu,23.52,217.02,56.85,Sét,120.68,Truyền thống,21.56
Cà phê,38.27,101.25,81.44,Phù sa,173.25,Truyền thống,26.15
Khoai,36.46,123.29,61.54,Sét,118.89,Truyền thống,19.86
Khoai,25.72,274.08,52.44,Cát,103.67,Truyền thống,21.61
Lúa,33.77,53.25,70.86,Cát,124.13,Truyền thống,19.41
Hồ tiêu,33.86,71.38,75.34,Cát,174.24,Truyền thống,25.05
Khoai,17.58,101.97,48.35,Sét,100.28,Truyền thống,16.73
Khoai,37.56,56.63,48.38,Thịt,76.06,Công nghệ cao,14.28
Lúa,27.63,95.36,41.83,Sét,156.8,Truyền thống,22.64
Khoai,35.66,195.76,76.82,Thịt,173.9,Truyền thống,27.08
Đậu tương,23,155.36,73.19,Sét,65.1,Truyền thống,14.68
Ngô,37.39,273.17,63.73,Sét,85.98,Truyền thống,19.29
Cà phê,24.73,254.36,82.21,Cát,71.3,Truyền thống,18.14
Ngô,15.27,135.45,80.28,Phù sa,102.19,Truyền thống,18.49
Lúa,37.63,114.86,69.27,Phù sa,117.55,Truyền thống,20.24
Sắn,17.28,144.92,83.41,Thịt,162.32,Truyền thống,25.33
Cà phê,22.98,197.57,50.29,Phù sa,147.67,Công nghệ cao,23.37
Lúa,38.75,117.02,45.6,Sét,143.14,Truyền thống,22.29
Hồ tiêu,38.77,206.04,53.49,Sét,102.86,Truyền thống,19.4
Sắn,29.34,152.35,42.85,Cát,176.22,Truyền thống,25.23
Ngô,30.8,188.01,66.56,Cát,120.69,Truyền thống,21.71
Lúa,26.21,159.03,86.83,Phù sa,196.87,Công nghệ cao,29.21
Hồ tiêu,22.33,123.62,41.97,Thịt,145.12,Công nghệ cao,21.21
Cà phê,23.22,287.11,46.11,Phù sa,68.94,Công nghệ cao,17.14
Cà phê,31.81,240.9,62.61,Phù sa,151.43,Công nghệ cao,24.67
Mía,33.81,85.03,86.69,Phù sa,98.77,Công nghệ cao,17.69
Hồ tiêu,34.79,267.12,55.81,Phù sa,152.95,Công nghệ cao,26.5
Đậu tương,34.74,171.86,65.36,Sét,60.45,Công nghệ cao,15.47
Khoai,17.28,273.64,42.08,Thịt,76.23,Công nghệ cao,17.47
Sắn,27.36,249.96,47.42,Sét,178.36,Công nghệ cao,27.65
Hồ tiêu,16.44,156.3,89.33,Thịt,84.08,Công nghệ cao,17.04
Mía,28.74,55.62,88.26,Cát,175.56,Công nghệ cao,24.42
Khoai,26.04,117.17,40.25,Phù sa,91.89,Công nghệ cao,16.39
Khoai,37.19,185.41,87.59,Sét,146.43,Công nghệ cao,25.05
Lúa,23.77,208.37,71.96,Thịt,154.12,Công nghệ cao,25.17
Khoai,17.93,114.47,83.4,Cát,126.9,Công nghệ cao,20.11
Đậu tương,18.57,84.84,62.74,Cát,95.8,Công nghệ cao,15.01
Cà phê,34.04,258.73,65.78,Phù sa,81.9,Truyền thống,19.59
Mía,30.46,296.1,64.44,Thịt,54.98,Công nghệ cao,16.64
Khoai,17.53,181.42,73.34,Sét,95.59,Truyền thống,17.83
Lúa,17.1,92.92,46.98,Phù sa,147.97,Công nghệ cao,21.27
Đậu tương,32.52,118.08,41.5,Sét,190.75,Công nghệ cao,26.11
Ngô,16.82,54.6,55.4,Cát,180.68,Truyền thống,24.19
Cà phê,35.55,278.57,75.23,Sét,164.91,Công nghệ cao,28.41
Cà phê,32.66,79.44,50.09,Sét,168.27,Truyền thống,23.89
Mía,17.03,194.13,73.67,Phù sa,149.75,Truyền thống,23.24
Cà phê,17.12,118.51,88.5,Sét,89.04,Truyền thống,17.39
Khoai,39.67,188.54,44.7,Phù sa,186.08,Công nghệ cao,27.83
Lúa,24.36,212.86,73.63,Cát,150.61,Công nghệ cao,24.56
Cà phê,24.27,257.44,62.19,Phù sa,134.07,Công nghệ cao,23.71
Cà phê,35.32,101.61,83.41,Phù sa,66.65,Truyền thống,14.08
Ngô,38.68,52.75,48.86,Thịt,117.06,Truyền thống,18.37
Ngô,39.65,84.22,74.63,Sét,119.05,Công nghệ cao,19.3
Sắn,33.83,275,81.91,Cát,179.68,Công nghệ cao,28.94
Đậu tương,24.41,268.47,87.23,Phù sa,132,Công nghệ cao,23.65
Khoai,17.09,199.35,74.16,Cát,107.06,Công nghệ cao,20.33
Cà phê,34.43,200.13,64.86,Thịt,196.52,Công nghệ cao,29.01
Hồ tiêu,28.96,216.26,70.89,Sét,66.61,Truyền thống,17.33
Cà phê,25.61,93.84,83.45,Phù sa,113.38,Truyền thống,18.73
Lúa,37.66,278.6,68.53,Sét,56.3,Truyền thống,16.29
Sắn,17.78,154.69,41.52,Thịt,160.99,Công nghệ cao,22.77
Đậu tương,27.32,145.78,86.55,Thịt,187.71,Truyền thống,28.27
Hồ tiêu,15.28,179.73,74.48,Cát,92.01,Truyền thống,17.72
Sắn,26.72,61.74,73.83,Phù sa,178.75,Truyền thống,24.39
Mía,16.41,91.57,50.78,Cát,93.83,Truyền thống,15.64
Đậu tương,17.97,234.51,72.94,Thịt,186.62,Truyền thống,28.69
Cà phê,17.94,70.7,59.69,Sét,163.09,Công nghệ cao,22.97
Cà phê,31.23,200.79,72.56,Cát,170.74,Truyền thống,27.55
Đậu tương,33.65,111.34,45.33,Cát,52.7,Công nghệ cao,12.36
Cà phê,29.58,147.32,72.89,Sét,194.42,Công nghệ cao,27.39
Khoai,39.05,122.17,89.97,Cát,159,Công nghệ cao,24.79
Đậu tương,24.37,138.92,42.41,Sét,95.71,Công nghệ cao,16.97
Sắn,22.14,229.76,88.86,Phù sa,174.41,Công nghệ cao,27.33
Đậu tương,36.71,124.28,60.35,Sét,92.23,Truyền thống,16.88
Hồ tiêu,20.59,191.6,83.54,Phù sa,180.91,Truyền thống,27.63
Cà phê,39.08,169.01,79.12,Sét,66.89,Công nghệ cao,16.37
Khoai,15.3,215.92,68.35,Thịt,155.55,Công nghệ cao,24.71
Khoai,39.25,284.21,76.92,Thịt,131.1,Công nghệ cao,24.69
Mía,16.08,233.14,83.93,Phù sa,64.48,Truyền thống,16.32
Sắn,37.28,103.74,60.21,Phù sa,86.28,Công nghệ cao,15.91
Ngô,28.19,57.8,56.35,Thịt,51.86,Truyền thống,11.89
Ngô,39.82,115.57,73.38,Phù sa,120.32,Công nghệ cao,21.05
Đậu tương,16.84,198.77,80.39,Sét,95.19,Truyền thống,17.83
Mía,28.85,62.86,78.11,Sét,139.75,Công nghệ cao,20.55
Lúa,39.23,174.09,79.89,Thịt,94.59,Truyền thống,18.55
Đậu tương,28.08,199.21,61.78,Cát,94.99,Công nghệ cao,18.42
Mía,30.73,133.56,80.89,Sét,161.48,Truyền thống,24.74
Sắn,32.39,242.73,46.01,Phù sa,57.22,Truyền thống,14.85
Sắn,26.36,76.65,67.22,Cát,185.43,Truyền thống,24.95
Sắn,30.69,68.78,40.29,Cát,177.84,Truyền thống,23.4
Sắn,29.61,232.05,56.23,Sét,150.17,Truyền thống,24.93
Sắn,37.53,173.87,58.32,Sét,138.98,Truyền thống,23.04
Mía,16.14,222.1,59.81,Cát,183.85,Truyền thống,27.07
Mía,22.02,158.71,74.77,Cát,77.8,Công nghệ cao,16.39
Khoai,38.76,111.6,59.43,Thịt,61.85,Công nghệ cao,13.86
Hồ tiêu,37.26,254.78,62.43,Phù sa,85.93,Công nghệ cao,19.29
Ngô,26.39,249.85,51.88,Thịt,169.19,Công nghệ cao,27.63
Cà phê,30.5,223.67,58.66,Sét,55.2,Công nghệ cao,15.95
Sắn,21.93,118.04,51.36,Thịt,137.42,Truyền thống,20.09
Lúa,19.7,197.56,43.66,Thịt,199.32,Truyền thống,28.59
Cà phê,26.59,140.24,70.17,Thịt,178.35,Truyền thống,26.48
Mía,23.83,72.9,73.41,Thịt,128.22,Truyền thống,19.1
Lúa,29.59,279.33,70.97,Phù sa,59.55,Truyền thống,17.56
Lúa,16.94,84.2,63.17,Phù sa,174.71,Công nghệ cao,24.67
Lúa,39.36,287.56,58.99,Cát,139.85,Công nghệ cao,24.91
Khoai,39.66,161.5,83.17,Sét,67.24,Công nghệ cao,15.97
Mía,32.45,96.28,65.95,Thịt,64.08,Công nghệ cao,14.44
Lúa,28.4,185.48,63.96,Cát,186.44,Truyền thống,27.83
Sắn,22.74,268.24,41.28,Cát,150.38,Truyền thống,25.05
Đậu tương,35.34,233.06,57.06,Cát,174.39,Truyền thống,27.75
Lúa,32.12,251.64,59.01,Phù sa,181.85,Công nghệ cao,28.79
Khoai,19.07,214.7,59.94,Thịt,135.77,Truyền thống,21.96
Cà phê,37.77,223.07,69.01,Thịt,127.62,Công nghệ cao,23.71
Mía,35.56,262.3,66.68,Sét,114.56,Truyền thống,23.07
Hồ tiêu,38.74,112.42,70.4,Thịt,97.54,Truyền thống,17.94
Khoai,33.14,172.36,78.24,Thịt,115.19,Công nghệ cao,20.95
Lúa,30.34,105.3,80.65,Cát,166.08,Truyền thống,23.88
Mía,25.46,296.92,75.91,Sét,140.29,Truyền thống,25.77
Đậu tương,38.32,286.01,87.78,Thịt,183.88,Công nghệ cao,30.94
Lúa,36.65,59.86,40.91,Phù sa,116.51,Truyền thống,17.88
Khoai,16.13,226.39,49.79,Thịt,141.06,Công nghệ cao,23.5
Ngô,15.66,281.31,40.38,Cát,144.7,Truyền thống,23.92
Sắn,24.41,95.14,72.37,Phù sa,138.75,Truyền thống,21.45
Hồ tiêu,35.26,191.99,84.9,Cát,155.4,Truyền thống,25.18
Cà phê,39.68,278.87,52.17,Thịt,85.62,Truyền thống,19.68
Khoai,18.76,58.49,86.35,Phù sa,126.85,Truyền thống,19.3
Mía,29.85,224.36,43.01,Sét,65.63,Truyền thống,15.95
Hồ tiêu,24.52,124.34,86.72,Sét,107.68,Truyền thống,18.9
Hồ tiêu,39.25,281.1,57.58,Phù sa,123.15,Truyền thống,23.56
Hồ tiêu,36.05,292.76,45.07,Phù sa,147.83,Công nghệ cao,26.21
Lúa,35.96,286.07,64.29,Cát,192.58,Công nghệ cao,30.49
Sắn,26.72,168.55,52.84,Phù sa,140.1,Truyền thống,21.5
Lúa,25.37,265.51,54.24,Cát,161.54,Truyền thống,27.23
Mía,21.84,261.14,55.36,Thịt,125.94,Công nghệ cao,23.26
Lúa,16.41,129.78,80.15,Cát,145.12,Truyền thống,21.69
Ngô,36.62,257.23,66.96,Phù sa,60.64,Truyền thống,17.39
Sắn,35.32,59.25,55.57,Phù sa,88.16,Công nghệ cao,15.18
Sắn,39.99,199.07,70.52,Thịt,104.28,Truyền thống,20.66
Mía,39.92,107.5,75.81,Phù sa,120.87,Truyền thống,20.65
Cà phê,28.89,80.14,53.63,Phù sa,56.85,Công nghệ cao,12.22
Ngô,34.22,69.24,60.68,Sét,71,Truyền thống,13.62
Khoai,38.62,224.07,46.09,Sét,91.52,Truyền thống,18.6
Lúa,36.24,134.97,49.06,Thịt,195.73,Công nghệ cao,27.1
Đậu tương,21.18,231.19,74.06,Cát,99.7,Truyền thống,19.46
Lúa,26.26,66.34,49.07,Sét,122.31,Công nghệ cao,18.31
Hồ tiêu,18.23,128.82,66.26,Cát,79.41,Truyền thống,15.06
Lúa,38.85,184.87,75.45,Phù sa,141.62,Truyền thống,24.41
Khoai,30.15,247.68,45.34,Sét,92.1,Công nghệ cao,19.77
Lúa,20.72,129.69,68.37,Thịt,81.05,Công nghệ cao,15.5
Ngô,31.79,206.47,52.83,Thịt,127.49,Truyền thống,22.17
Ngô,30.45,271.49,88.15,Thịt,50.83,Công nghệ cao,16.93
Sắn,23.95,203.97,64.18,Sét,51.15,Công nghệ cao,14.55
Mía,17.84,108.24,80.3,Cát,82.86,Truyền thống,15.79
Cà phê,31.79,56.1,67.51,Phù sa,55.51,Truyền thống,12.66
Đậu tương,28.01,267.52,42.17,Cát,66.2,Truyền thống,16.88
Hồ tiêu,34.31,55.32,71.66,Cát,100.83,Công nghệ cao,16.44
Lúa,28,268.68,87.57,Phù sa,170.39,Công nghệ cao,28.87
Lúa,36.3,182.23,70.08,Phù sa,135.81,Công nghệ cao,23.59
Khoai,28.8,284.77,80.96,Sét,126.9,Công nghệ cao,23.87
Mía,29.02,249.7,84.21,Sét,94.02,Truyền thống,20.39
Ngô,36.92,299.48,51.4,Sét,189.76,Công nghệ cao,30.7
Đậu tương,25.09,137.68,50.6,Sét,109.55,Truyền thống,18.38
Sắn,18.35,241.8,70.55,Sét,63.06,Công nghệ cao,16.71
Ngô,15.72,150.48,60.55,Phù sa,142.56,Truyền thống,23.05
Hồ tiêu,33.88,169.97,81.99,Cát,67.08,Truyền thống,15.87
Mía,30.51,206.88,85,Sét,101.78,Truyền thống,19.7
Hồ tiêu,32.6,268.42,57.67,Sét,126.11,Công nghệ cao,23.49
Cà phê,20.32,296.02,51.84,Cát,181.13,Truyền thống,28.97
Sắn,18.41,242.07,79.03,Sét,124.03,Truyền thống,22.42
Cà phê,15.36,154.44,53.74,Cát,155.34,Công nghệ cao,23.73
Khoai,23.76,155.34,81.13,Cát,198.92,Truyền thống,27.95
Hồ tiêu,29.75,234.4,61.19,Phù sa,69.72,Công nghệ cao,17.33
Khoai,24.81,109.69,73.38,Thịt,91.21,Công nghệ cao,16.45
Lúa,25.94,77.62,44.78,Phù sa,109.19,Truyền thống,17.97
Cà phê,37.6,138.66,71.19,Thịt,113.27,Truyền thống,21.11
Mía,23.71,121.81,62.59,Thịt,111.65,Công nghệ cao,18.28
Hồ tiêu,27.85,124.08,69.33,Thịt,186.14,Truyền thống,26.29
Đậu tương,34.59,108.4,48.4,Sét,157.1,Công nghệ cao,23.49
Sắn,24.91,60.52,76.84,Phù sa,141.19,Công nghệ cao,20.69
Ngô,30.55,54.47,83.14,Thịt,96.41,Công nghệ cao,16.73
Mía,36.56,296.93,50.84,Cát,173.57,Truyền thống,28.66
Mía,38.74,156.94,44.79,Sét,193.26,Công nghệ cao,26.79
Khoai,18.68,146.08,41.18,Phù sa,173.18,Truyền thống,24.4
Cà phê,38.16,219.91,72.1,Thịt,50.23,Truyền thống,15.15
Hồ tiêu,27.3,104.56,70.35,Cát,145.46,Truyền thống,21.87
Hồ tiêu,21.46,287.49,67.33,Phù sa,57.67,Truyền thống,17.33
Lúa,26.48,246.59,51.6,Phù sa,88.64,Công nghệ cao,18.04
Lúa,39.5,72.35,59.55,Sét,58.93,Truyền thống,13.51
Sắn,27.32,154.4,69.72,Phù sa,140.57,Công nghệ cao,22.46
Khoai,23.22,269.78,64.84,Sét,152.99,Công nghệ cao,25.66
Mía,30.84,286.18,89.39,Thịt,67.17,Truyền thống,19.06
Hồ tiêu,21,166.85,46.82,Sét,107.58,Công nghệ cao,18.72
Đậu tương,16.9,203.35,74.76,Cát,118.44,Công nghệ cao,21.28
Khoai,18.22,91.76,60.22,Sét,105.36,Truyền thống,17.57
Sắn,18.2,297.79,61.41,Cát,68.15,Công nghệ cao,17.36
Sắn,18.8,107.92,75.88,Sét,112.84,Công nghệ cao,18.35
Khoai,18.47,285.68,74.62,Phù sa,162.68,Công nghệ cao,26.6
Sắn,31.02,212.41,89.56,Thịt,60.65,Công nghệ cao,16.14
Khoai,19.55,201.93,46.42,Cát,62.03,Truyền thống,16.09
Ngô,23.64,178.17,45.21,Sét,103.22,Công nghệ cao,19.05
Khoai,37.42,107.67,76.22,Sét,191.26,Công nghệ cao,26.76
Cà phê,26.85,94.13,68.92,Sét,150.29,Công nghệ cao,21.66
Khoai,31.69,105.12,53.71,Phù sa,151.8,Công nghệ cao,22.72
Sắn,19.31,96.61,43.97,Phù sa,104.29,Truyền thống,16.92
Hồ tiêu,19.81,244.9,44.28,Cát,139.05,Công nghệ cao,23.4
Cà phê,16.02,137.53,84.71,Cát,51.52,Truyền thống,13.12
Sắn,19.22,64.46,49.59,Phù sa,145.41,Công nghệ cao,20.22
Lúa,21.96,292.28,56.17,Cát,186.99,Truyền thống,29.49
Lúa,19.43,270.95,51.33,Thịt,141.89,Truyền thống,24.16
Hồ tiêu,17.22,281.94,57.75,Thịt,181.05,Truyền thống,27.23
Hồ tiêu,18.02,298.73,43.47,Phù sa,158.6,Truyền thống,25.92
Cà phê,26.52,93.47,65.95,Cát,68.08,Truyền thống,13.56
Ngô,20.16,149.06,43.38,Sét,185.37,Công nghệ cao,25.92
Hồ tiêu,24.11,239.56,80.02,Thịt,59.97,Công nghệ cao,17.89
Lúa,27.59,224.01,51.69,Phù sa,130.1,Công nghệ cao,22.6
